,id,current_version,folder_id,title,content_length,create_by,create_on
4625,9200114,0,3111810.0,23-10-02_Forcings-TT_Meeting-6.docx,353275,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-07T09:44:49
4624,9200114,0,3111810.0,23-10-02_Forcings-TT_Meeting-6.docx,344055,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-07T09:44:49
4623,9200114,0,3111810.0,23-10-02_Forcings-TT_Meeting-6.docx,344033,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-07T09:44:49
4622,9200114,0,3111810.0,23-10-02_Forcings-TT_Meeting-6.docx,344033,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-07T09:44:49
4630,9200207,0,3111810.0,23-10-02_ForcingsTT_Meeting6_SLIDES.pptx,35978042,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-07T10:17:33
7471,9458155,0,3163397.0,2023-12-18 DR Co-leads meeting.docx,351995,9ae233e0-ef50-4405-9295-88eb41997ab3,2023-12-18T08:10:06
4641,9201408,0,3181258.0,23-08-08_WIP-ESGF-XC.docx,334856,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T09:06:12
4643,9201408,0,3181258.0,23-08-08_WIP-ESGF-XC.docx,339613,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T09:06:12
4662,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,109247,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4661,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107760,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4660,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107143,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4659,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107333,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4658,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107155,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4657,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107051,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4656,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,106629,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4655,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,107089,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4642,9201408,0,3181258.0,23-08-08_WIP-ESGF-XC.docx,334840,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T09:06:12
4654,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,106364,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
4652,9201499,0,3141344.0,23-09_CMIP-Core-Panel_NYC_AGENDA.docx,105445,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-08T10:11:12
